Site,Round,Side,Distance,Soil C,logSC,unprotected
Black,Before,Close,0,151.1,2.182129214,1
Black,Before,Close,10,111.5,2.051152522,1
Black,Before,Close,20,126.9,2.106870544,1
Black,Before,Far,0,300.6,2.479431337,1
Black,Before,Far,10,146.7,2.169380495,1
Black,Before,Far,20,79.48,1.905687968,1
Oathill,Before,Close,0,85.48,1.936915681,1
Oathill,Before,Close,10,22.48,1.370698093,1
Oathill,Before,Close,20,20.18,1.325925956,1
Oathill,Before,Far,0,305.8,2.486855355,1
Oathill,Before,Far,10,225.3,2.354684554,1
Oathill,Before,Far,20,121.2,2.087071206,1
Spectacle,Before,Close,0,421.5,2.625826713,1
Spectacle,Before,Close,10,182.2,2.262925469,1
Spectacle,Before,Close,20,92.06,1.968763048,1
Spectacle,Before,Far,0,150.7,2.180985581,1
Spectacle,Before,Far,10,113.4,2.058426024,1
Spectacle,Before,Far,20,108,2.037426498,1
Topsail,Before,Close,0,95.97,1.986637396,0
Topsail,Before,Close,10,213.3,2.331022171,0
Topsail,Before,Close,20,59.46,1.781468143,0
Topsail,Before,Far,0,153.5,2.188928484,0
Topsail,Before,Far,10,141.4,2.153509989,0
Topsail,Before,Far,20,159,2.204119983,0
Lemont,Before,Close,0,41.9,1.632457292,0
Lemont,Before,Close,10,51.81,1.722716167,0
Lemont,Before,Close,20,48.47,1.69434191,0
Lemont,Before,Far,0,51.12,1.717004407,0
Lemont,Before,Far,10,66.21,1.827433895,0
Lemont,Before,Far,20,48.85,1.697665163,0
Black,After,Close,0,88.53,1.951968584,1
Black,After,Close,10,88.49,1.951774508,1
Black,After,Close,20,86.15,1.940267391,1
Black,After,Far,0,147.7,2.172310969,1
Black,After,Far,10,99.96,2.004149342,1
Black,After,Far,20,60.44,1.788451207,1
Oathill,After,Close,0,44.72,1.660106222,1
Oathill,After,Close,10,39.74,1.610021025,1
Oathill,After,Close,20,163,2.214843848,1
Oathill,After,Far,0,246.1,2.392872745,1
Oathill,After,Far,10,101,2.008600172,1
Oathill,After,Far,20,104.3,2.022428371,1
Spectacle,After,Close,0,113.3,2.05804623,1
Spectacle,After,Close,10,134.2,2.130976692,1
Spectacle,After,Close,20,116.8,2.07114529,1
Spectacle,After,Far,0,116.7,2.070776463,1
Spectacle,After,Far,10,98.2,1.996511672,1
Spectacle,After,Far,20,75.58,1.884115362,1
Topsail,After,Close,0,94.63,1.980594156,0
Topsail,After,Close,10,110.3,2.046495164,0
Topsail,After,Close,20,62.14,1.800304578,0
Topsail,After,Far,0,88.5,1.951823035,0
Topsail,After,Far,10,104.2,2.02201574,0
Topsail,After,Far,20,185.5,2.270678836,0
Lemont,After,Close,0,47.12,1.682325619,0
Lemont,After,Close,10,21.46,1.351409752,0
Lemont,After,Close,20,41.83,1.631748074,0
Lemont,After,Far,0,48.36,1.693375151,0
Lemont,After,Far,10,65.52,1.822952241,0
Lemont,After,Far,20,27.68,1.457579147,0
