Site,Round,Year,Month,Day,Proximity,Distance,C1,C2,C3,Avg C,SD C,Temp,M1,M2,M3,Avg M
Black,1,2020,October,24,Close,0,0.03,0.03,0.04,0.033,0.005773503,13.1,8.4,16.4,4.9,9.9
Black,1,2020,October,24,Close,10,0.02,0.03,0.01,0.02,0.01,14.1,15.2,14.4,21.5,17.03
Black,1,2020,October,24,Close,20,0.05,0.04,0.04,0.043,0.005773503,11.4,8.7,N/A,N/A,8.7
Black,1,2020,October,24,Far,0,0.17,0.16,0.09,0.14,0.043588989,12.3,7.6,26.8,20.8,18.4
Black,1,2020,October,24,Far,10,0.04,0.02,0.04,0.033,0.011547005,12,13.3,7.2,1.6,7.37
Black,1,2020,October,24,Far,20,0.06,0.04,0.05,0.05,0.01,12.2,6,7,7.6,6.87
Oathill,1,2020,October,24,Close,0,0.23,0.11,0.19,0.177,0.061101009,12.9,35.2,33.1,30.2,32.83
Oathill,1,2020,October,24,Close,10,0.02,0.02,0.02,0.02,0,12.8,11.9,13.5,15.1,13.5
Oathill,1,2020,October,24,Close,20,0.04,0.02,0.02,0.027,0.011547005,14,16.3,14.5,18.4,16.4
Oathill,1,2020,October,24,Far,0,0.06,0.15,0.09,0.1,0.045825757,12.7,10.5,5.8,27.6,14.63
Oathill,1,2020,October,24,Far,10,0.09,0.04,0.21,0.113,0.087368949,13.7,18.3,37.5,22.5,26.1
Oathill,1,2020,October,24,Far,20,0.09,0.31,0.49,0.297,0.200333056,13.2,28.9,38.8,15.7,27.8
Spectacle,1,2020,October,24,Close,0,0.87,0.11,0.69,0.557,0.39715656,12.5,50.2,55,50.9,52.03
Spectacle,1,2020,October,24,Close,10,0.04,0.05,0.01,0.033,0.02081666,13.4,38.7,46.7,35.3,40.23
Spectacle,1,2020,October,24,Close,20,0.01,0.07,0.04,0.04,0.03,13.2,18.7,17.6,23.4,19.9
Spectacle,1,2020,October,24,Far,0,0.12,0.08,0.02,0.073,0.05033223,14.1,13.3,22.9,10.6,15.6
Spectacle,1,2020,October,24,Far,10,0.02,0.03,0.06,0.037,0.02081666,13.8,3.6,10.1,8.4,7.37
Spectacle,1,2020,October,24,Far,20,0.02,0.01,0.01,0.013,0.005773503,13.4,10.5,12.8,13.7,12.33
Topsail,1,2020,November,3,Close,0,0.01,0,0,0.003,0.005773503,7.4,3.2,0.9,0.1,1.4
Topsail,1,2020,November,3,Close,10,0.05,0.01,0.01,0.023,0.023094011,7.7,6.8,1,6.3,4.7
Topsail,1,2020,November,3,Close,20,0.01,0,0.01,0.007,0.005773503,6.9,3.3,4.3,7.3,5.8
Topsail,1,2020,November,3,Far,0,0.02,0.02,0.05,0.03,0.017320508,4.1,22.5,18.8,7.3,16.2
Topsail,1,2020,November,3,Far,10,0.06,0.04,0.02,0.04,0.02,5.3,12.3,16.8,8.3,12.47
Topsail,1,2020,November,3,Far,20,0.08,0.02,0.03,0.043,0.032145503,5.3,25.5,24.5,20.3,23.43
Lemont,1,2020,November,3,Close,0,0.05,0.05,0.04,0.047,0.005773503,7.7,38.4,27.9,37.2,34.5
Lemont,1,2020,November,3,Close,10,0.05,0.03,0.3,0.127,0.150443788,6.3,19.7,19.4,16.6,18.57
Lemont,1,2020,November,3,Close,20,0.09,0.07,0.12,0.093,0.025166115,6.8,N/A,16.8,19.7,18.25
Lemont,1,2020,November,3,Far,0,0.02,0.04,0.04,0.033,0.011547005,9.3,35.9,31.8,26.5,31.4
Lemont,1,2020,November,3,Far,10,0.07,0.09,0.02,0.06,0.036055513,8,26.9,38.1,37.8,34.27
