Name,Year,Concentration,Ion
Anderson,1980,N/A,Cl
Anderson,1991,N/A,Cl
Anderson,2000,12.1,Cl
Anderson,2011,14.2,Cl
Banook,1980,55,Cl
Banook,1991,90.78,Cl
Banook,2000,92.8,Cl
Banook,2011,175,Cl
Bayers,1980,44,Cl
Bayers,1991,N/A,Cl
Bayers,2000,106,Cl
Bayers,2011,218,Cl
Bell,1980,58,Cl
Bell,1991,8.4,Cl
Bell,2000,9.2,Cl
Bell,2011,14.6,Cl
Big Albro,1980,32,Cl
Big Albro,1991,89.3,Cl
Big Albro,2000,89.2,Cl
Big Albro,2011,109,Cl
Bissett,1980,77,Cl
Bissett,1991,157,Cl
Bissett,2000,149.5,Cl
Bissett,2011,209.25,Cl
Charles,1980,20.5,Cl
Charles,1991,43.2,Cl
Charles,2000,52.6,Cl
Charles,2011,55.35,Cl
Chocolate,1980,113,Cl
Chocolate,1991,125,Cl
Chocolate,2000,122,Cl
Chocolate,2011,128.25,Cl
Colbart,1980,10,Cl
Colbart,1991,74.8,Cl
Colbart,2000,70.8,Cl
Colbart,2011,118.9,Cl
Cranberry,1980,6,Cl
Cranberry,1991,120,Cl
Cranberry,2000,144,Cl
Cranberry,2011,140.5,Cl
First,1980,23,Cl
First,1991,82.05,Cl
First,2000,115.5,Cl
First,2011,126.1,Cl
First Chain,1980,49,Cl
First Chain,1991,87,Cl
First Chain,2000,80.3,Cl
First Chain,2011,91.6,Cl
Fletcher,1980,18.2,Cl
Fletcher,1991,27.97,Cl
Fletcher,2000,34.2,Cl
Fletcher,2011,33.66666667,Cl
Fraser,1980,29.5,Cl
Fraser,1991,8.5,Cl
Fraser,2000,15.8,Cl
Fraser,2011,17.15,Cl
Frenchman,1980,3.8,Cl
Frenchman,1991,110,Cl
Frenchman,2000,126,Cl
Frenchman,2011,349.4,Cl
Frog Pond,1980,125,Cl
Frog Pond,1991,148,Cl
Frog Pond,2000,129,Cl
Frog Pond,2011,160.7,Cl
Governor,1980,4.5,Cl
Governor,1991,58.9,Cl
Governor,2000,103.7,Cl
Governor,2011,123.4,Cl
Grand,1980,9.3,Cl
Grand,1991,14.07,Cl
Grand,2000,18.6,Cl
Grand,2011,19.4,Cl
Kearney,1980,5.2,Cl
Kearney,1991,16.65,Cl
Kearney,2000,36,Cl
Kearney,2011,55.7,Cl
Kinsac,1980,8.1,Cl
Kinsac,1991,9.93,Cl
Kinsac,2000,13.7,Cl
Kinsac,2011,19.93333333,Cl
Lemont,1980,5,Cl
Lemont,1991,5.7,Cl
Lemont,2000,10.1,Cl
Lemont,2011,16.6,Cl
Little Albro,1980,75,Cl
Little Albro,1991,92,Cl
Little Albro,2000,81.3,Cl
Little Albro,2011,118.6,Cl
Long ,1980,36,Cl
Long ,1991,42.6,Cl
Long ,2000,52.8,Cl
Long ,2011,77.73333333,Cl
Loon,1980,6.1,Cl
Loon,1991,67.85,Cl
Loon,2000,76,Cl
Loon,2011,79.05,Cl
Major,1980,30.5,Cl
Major,1991,4.56,Cl
Major,2000,5.5,Cl
Major,2011,6.833333333,Cl
Maynards ,1980,91,Cl
Maynards ,1991,103,Cl
Maynards ,2000,94.1,Cl
Maynards ,2011,88.2,Cl
Micmac,1980,47,Cl
Micmac,1991,76.2,Cl
Micmac,2000,85.3,Cl
Micmac,2011,235.65,Cl
Miller ,1980,20.3,Cl
Miller ,1991,23.65,Cl
Miller ,2000,21.5,Cl
Miller ,2011,26.2,Cl
Morris,1980,41.7,Cl
Morris,1991,74.9,Cl
Morris,2000,74.4,Cl
Morris,2011,103.16,Cl
Oathill,1980,84,Cl
Oathill,1991,152,Cl
Oathill,2000,124,Cl
Oathill,2011,158.6,Cl
Paper Mill,1980,14,Cl
Paper Mill,1991,17,Cl
Paper Mill,2000,36.4,Cl
Paper Mill,2011,61.5,Cl
Parr,1980,32,Cl
Parr,1991,12.3,Cl
Parr,2000,16.7,Cl
Parr,2011,16.7,Cl
Penhorn,1980,8.3,Cl
Penhorn,1991,171,Cl
Penhorn,2000,139,Cl
Penhorn,2011,159.1,Cl
Powder Mill,1980,33,Cl
Powder Mill,1991,28.7,Cl
Powder Mill,2000,43.3,Cl
Powder Mill,2011,47.8,Cl
Power Pond,1980,N/A,Cl
Power Pond,1991,N/A,Cl
Power Pond,2000,39.7,Cl
Power Pond,2011,49.8,Cl
Rocky,1980,14,Cl
Rocky,1991,40.9,Cl
Rocky,2000,64,Cl
Rocky,2011,75.3,Cl
Russell,1980,80,Cl
Russell,1991,112.63,Cl
Russell,2000,137,Cl
Russell,2011,233.6,Cl
Sandy,1980,13.7,Cl
Sandy,1991,24.95,Cl
