Name,lat,long,geometry,Year,Cl,Conductivity,Na
Anderson,44.73460049,-63.8620793,"44.73460049,-63.8620793",1980,N/A,N/A,N/A
Anderson,44.73460049,-63.8620793,"44.73460049,-63.8620794",1991,N/A,N/A,N/A
Anderson,44.73460049,-63.8620793,"44.73460049,-63.8620795",2000,12.1,61.8,7.2
Anderson,44.73460049,-63.8620793,"44.73460049,-63.8620796",2011,14.2,N/A,8.2
Banook,44.6797829,-63.55659668,"44.6797829,-63.55659668",1980,55,196.2,31.5
Banook,44.6797829,-63.55659668,"44.6797829,-63.55659669",1991,90.78,357.8,56.2
Banook,44.6797829,-63.55659668,"44.6797829,-63.55659670",2000,92.8,402.8,59.1
Banook,44.6797829,-63.55659668,"44.6797829,-63.55659671",2011,175,N/A,103.95
Bayers,44.64265362,-63.67107852,"44.64265362,-63.67107852",1980,44,148.5,24
Bayers,44.64265362,-63.67107852,"44.64265362,-63.67107853",1991,N/A,270,N/A
Bayers,44.64265362,-63.67107852,"44.64265362,-63.67107854",2000,106,434,61.5
Bayers,44.64265362,-63.67107852,"44.64265362,-63.67107855",2011,218,N/A,124.8
Bell,44.754772,-63.28222088,"44.754772,-63.28222088",1980,58,38,4.6
Bell,44.754772,-63.28222088,"44.754772,-63.28222089",1991,8.4,56.4,4.6
Bell,44.754772,-63.28222088,"44.754772,-63.28222090",2000,9.2,56.3,5.1
Bell,44.754772,-63.28222088,"44.754772,-63.28222091",2011,14.6,N/A,7.9
Big Albro,44.68913308,-63.57721869,"44.68913308,-63.57721869",1980,32,105,20
Big Albro,44.68913308,-63.57721869,"44.68913308,-63.57721870",1991,89.3,335,56.7
Big Albro,44.68913308,-63.57721869,"44.68913308,-63.57721871",2000,89.2,351,56.2
Big Albro,44.68913308,-63.57721869,"44.68913308,-63.57721872",2011,109,N/A,64.1
Bissett,44.65559555,-63.46996924,"44.65559555,-63.46996924",1980,77,241.8,40
Bissett,44.65559555,-63.46996924,"44.65559555,-63.46996925",1991,157,608,94.5
Bissett,44.65559555,-63.46996924,"44.65559555,-63.46996926",2000,149.5,603,91.1
Bissett,44.65559555,-63.46996924,"44.65559555,-63.46996927",2011,209.25,N/A,128.1
Charles,44.72257076,-63.55113519,"44.72257076,-63.55113519",1980,20.5,82.4,13
Charles,44.72257076,-63.55113519,"44.72257076,-63.55113520",1991,43.2,195.5,27
Charles,44.72257076,-63.55113519,"44.72257076,-63.55113521",2000,52.6,242,32.3
Charles,44.72257076,-63.55113519,"44.72257076,-63.55113522",2011,55.35,N/A,33.2
Chocolate,44.6385661,-63.62349599,"44.6385661,-63.62349599",1980,113,346,70
Chocolate,44.6385661,-63.62349599,"44.6385661,-63.62349600",1991,125,509,80.3
Chocolate,44.6385661,-63.62349599,"44.6385661,-63.62349601",2000,122,497,76.7
Chocolate,44.6385661,-63.62349599,"44.6385661,-63.62349602",2011,128.25,N/A,76.1
Colbart,44.61008184,-63.59658687,"44.61008184,-63.59658687",1980,10,108.8,21
Colbart,44.61008184,-63.59658687,"44.61008184,-63.59658688",1991,74.8,275,47.5
Colbart,44.61008184,-63.59658687,"44.61008184,-63.59658689",2000,70.8,291,44
Colbart,44.61008184,-63.59658687,"44.61008184,-63.59658690",2011,118.9,N/A,70.3
Cranberry,44.68869626,-63.49788668,"44.68869626,-63.49788668",1980,6,101.8,15
Cranberry,44.68869626,-63.49788668,"44.68869626,-63.49788669",1991,120,458,73
